Author,BookID,WikipediaLink
"Hazlitt, William",2049,https://en.wikipedia.org/wiki/William_Hazlitt
"Brownson, Orestes Augustus",2053,https://en.wikipedia.org/wiki/Orestes_Brownson
"Dana, Richard Henry",2055,https://en.wikipedia.org/wiki/Richard_Henry_Dana_Jr.
"Smith, George",2056,https://en.wikipedia.org/wiki/George_Smith_(1833%E2%80%931919)
"Byrne, Donn",2058,https://en.wikipedia.org/wiki/Brian_Oswald_Donn-Byrne
"Beckford, William",2060,https://en.wikipedia.org/wiki/William_Beckford_(novelist)
"Dryden, John",2062,http://en.wikipedia.org/wiki/John_Dryden
"Garis, Howard Roger",2065,https://en.wikipedia.org/wiki/Howard_R._Garis
"Ossendowski, Ferdynand Antoni",2067,https://en.wikipedia.org/wiki/Ferdynand_Antoni_Ossendowski
"Lincoln, Joseph Crosby",2068,https://en.wikipedia.org/wiki/Joseph_C._Lincoln
"Pinches, Theophilus G. (Theophilus Goldridge)",2069,https://en.wikipedia.org/wiki/Theophilus_Pinches
"Benson, E. F. (Edward Frederic)",2072,https://en.wikipedia.org/wiki/E._F._Benson
"Burckhardt, Jacob",2074,https://en.wikipedia.org/wiki/Jacob_Burckhardt
"Giles, Herbert Allen",2076,https://en.wikipedia.org/wiki/Herbert_Giles
"Lamothe-Langon, Etienne-Léon, baron de",2082,https://en.wikipedia.org/wiki/Lamothe-Langon
"Lucas, E. V. (Edward Verrall)",2086,https://en.wikipedia.org/wiki/E._V._Lucas
"Tao, Qian",2090,https://en.wikipedia.org/wiki/Tao_Yuanming
"Adams, Samuel",2092,https://en.wikipedia.org/wiki/Samuel_Adams
"Smith, William",2096,https://en.wikipedia.org/wiki/William_Smith_(lexicographer)
Faxian,2124,https://en.wikipedia.org/wiki/Faxian
